Time (s),Distance (cm)
0.0,18.960703125000006
0.1,18.960703125000006
0.2,18.960703125000006
0.3,18.960703125000006
0.4,18.960703125000006
0.5,18.960703125000006
0.6,18.960703125000006
0.7,18.960703125000006
0.8,18.960703125000006
0.9,18.960703125000006
1.0,18.960703125000006
1.1,18.960703125000006
1.2,18.960703125000006
1.3,18.960703125000006
1.4,18.960703125000006
1.5,18.960703125000006
1.6,18.960703125000006
1.7,18.960703125000006
1.8,18.960703125000006
1.9,18.960703125000006
2.0,18.960703125000006
2.1,18.960703125000006
2.2,18.960703125000006
2.3,18.960703125000006
2.4,18.960703125000006
2.5,18.960703125000006
2.6,18.960703125000006
2.7,18.960703125000006
2.8,18.960703125000006
2.9,18.960703125000006
3.0,18.960703125000006
3.1,18.960703125000006
3.2,18.960703125000006
3.3,18.960703125000006
3.4,18.960703125000006
3.5,18.960703125000006
3.6,18.960703125000006
3.7,18.960703125000006
3.8,18.960703125000006
3.9,18.960703125000006
4.0,18.960703125000006
4.1,18.960703125000006
4.2,18.960703125000006
4.3,18.960703125000006
4.4,18.960703125000006
4.5,18.960703125000006
4.6,18.960703125000006
4.7,18.960703125000006
4.8,18.960703125000006
4.9,18.960703125000006
5.0,18.960703125000006
5.1,18.960703125000006
5.2,18.960703125000006
5.3,18.960703125000006
5.4,18.960703125000006
5.5,18.960703125000006
5.6,18.960703125000006
5.7,18.960703125000006
5.8,18.960703125000006
5.9,18.960703125000006
6.0,18.960703125000006
6.1,18.960703125000006
6.2,18.960703125000006
6.3,18.960703125000006
6.4,18.960703125000006
6.5,18.960703125000006
6.6,18.960703125000006
6.7,18.960703125000006
6.8,18.960703125000006
6.9,18.960703125000006
7.0,18.960703125000006
7.1,18.960703125000006
7.2,18.960703125000006
7.3,18.960703125000006
7.4,18.960703125000006
7.5,18.960703125000006
7.6,18.960703125000006
7.7,18.960703125000006
7.8,18.960703125000006
7.9,18.960703125000006
8.0,18.960703125000006
8.1,18.960703125000006
8.2,18.960703125000006
8.3,18.960703125000006
8.4,18.960703125000006
8.5,18.960703125000006
8.6,18.960703125000006
8.7,18.960703125000006
8.8,18.960703125000006
8.9,19.169062500000006
9.0,19.307968750000004
9.1,19.446875000000002
9.2,19.516328125000005
9.3,19.585781250000004
9.4,19.794140625000004
9.5,19.794140625000004
9.6,20.071953125000004
9.7,20.14151008993451
9.8,20.210962858098075
9.9,20.210962858098075
10.0,20.210962858098075
10.1,20.210962858098075
10.2,20.280415628705708
10.3,20.41932117715342
10.4,20.558226735081497
10.5,20.558226735081497
10.6,20.627679517540816
10.7,20.69713230229906
10.8,20.83603787862032
10.9,20.83603787862032
11.0,20.905490670138132
11.1,20.905490670138132
11.2,20.905490670138132
11.3,21.04439625977731
11.4,21.04439625977731
11.5,21.04439625977731
11.6,21.183301858076902
11.7,21.461113079984663
11.8,21.461113079984663
11.9,21.461113079984663
12.0,21.461113079984663
12.1,21.461113079984663
12.2,21.60001870326732
12.3,21.738924334559094
12.4,21.738924334559094
12.5,21.738924334559094
12.6,21.738924334559094
12.7,21.738924334559094
12.8,21.738924334559094
12.9,21.738924334559094
13.0,21.738924334559094
13.1,21.94728279618119
13.2,21.94728279618119
13.3,22.016735620563622
13.4,22.016735620563622
13.5,22.155641274982695
13.6,22.155641274982695
13.7,22.155641274982695
13.8,22.155641274982695
13.9,22.155641274982695
14.0,22.294546936823295
14.1,22.294546936823295
14.2,22.294546936823295
14.3,22.363999770483446
14.4,22.363999770483446
14.5,22.363999770483446
14.6,22.363999770483446
14.7,22.5029054431989
14.8,22.5029054431989
14.9,22.572358282221003
15.0,22.572358282221003
15.1,22.572358282221003
15.2,22.572358282221003
15.3,22.572358282221003
15.4,22.572358282221003
15.5,22.572358282221003
15.6,22.572358282221003
15.7,22.572358282221003
15.8,22.641811122997566
15.9,22.641811122997566
16.0,22.641811122997566
16.1,22.641811122997566
16.2,22.641811122997566
16.3,22.641811122997566
16.4,22.641811122997566
16.5,22.641811122997566
16.6,22.641811122997566
16.7,22.641811122997566
16.8,22.641811122997566
16.9,22.641811122997566
17.0,22.641811122997566
17.1,22.85016965569399
17.2,22.85016965569399
17.3,22.85016965569399
17.4,22.85016965569399
17.5,22.85016965569399
17.6,22.85016965569399
17.7,22.85016965569399
17.8,22.85016965569399
17.9,22.85016965569399
18.0,22.85016965569399
18.1,22.85016965569399
18.2,22.85016965569399
18.3,22.85016965569399
18.4,22.85016965569399
18.5,22.85016965569399
18.6,22.85016965569399
18.7,22.85016965569399
18.8,22.85016965569399
18.9,22.919622503329354
19.0,22.919622503329354
19.1,22.919622503329354
19.2,22.919622503329354
19.3,22.919622503329354
19.4,22.919622503329354
19.5,22.919622503329354
19.6,22.919622503329354
19.7,22.919622503329354
19.8,22.919622503329354
19.9,22.919622503329354
20.0,22.919622503329354
20.1,22.919622503329354
20.2,22.919622503329354
20.3,22.919622503329354
20.4,22.919622503329354
20.5,22.919622503329354
20.6,22.919622503329354
20.7,22.919622503329354
20.8,22.919622503329354
20.9,22.919622503329354
21.0,22.919622503329354
21.1,22.919622503329354
21.2,22.919622503329354
21.3,22.919622503329354
21.4,22.919622503329354
21.5,22.919622503329354
21.6,22.919622503329354
